Variável,Valor
"X[0,0]",0.0
"X[0,1]",0.0
"X[0,2]",0.0
"X[0,3]",0.0
"X[0,4]",0.0
"X[0,5]",0.0
"X[0,6]",0.0
"X[0,7]",0.0
"X[0,8]",0.0
"X[0,9]",0.0
"X[1,0]",0.0
"X[1,1]",0.0
"X[1,2]",0.0
"X[1,3]",0.0
"X[1,4]",0.0
"X[1,5]",0.0
"X[1,6]",0.0
"X[1,7]",0.0
"X[1,8]",0.0
"X[1,9]",0.0
"X[2,0]",0.0
"X[2,1]",0.0
"X[2,2]",0.0
"X[2,3]",0.0
"X[2,4]",0.0
"X[2,5]",0.0
"X[2,6]",4470.956904991462
"X[2,7]",37236.37424153389
"X[2,8]",0.0
"X[2,9]",0.0
"X[3,0]",0.0
"X[3,1]",0.0
"X[3,2]",0.0
"X[3,3]",0.0
"X[3,4]",0.0
"X[3,5]",0.0
"X[3,6]",0.0
"X[3,7]",0.0
"X[3,8]",0.0
"X[3,9]",0.0
"X[4,0]",0.0
"X[4,1]",0.0
"X[4,2]",0.0
"X[4,3]",0.0
"X[4,4]",0.0
"X[4,5]",0.0
"X[4,6]",0.0
"X[4,7]",0.0
"X[4,8]",0.0
"X[4,9]",0.0
"X[5,0]",0.0
"X[5,1]",0.0
"X[5,2]",0.0
"X[5,3]",0.0
"X[5,4]",0.0
"X[5,5]",0.0
"X[5,6]",0.0
"X[5,7]",0.0
"X[5,8]",0.0
"X[5,9]",0.0
"X[6,0]",0.0
"X[6,1]",0.0
"X[6,2]",0.0
"X[6,3]",0.0
"X[6,4]",0.0
"X[6,5]",0.0
"X[6,6]",0.0
"X[6,7]",0.0
"X[6,8]",0.0
"X[6,9]",0.0
"X[7,0]",0.0
"X[7,1]",0.0
"X[7,2]",0.0
"X[7,3]",0.0
"X[7,4]",0.0
"X[7,5]",0.0
"X[7,6]",0.0
"X[7,7]",0.0
"X[7,8]",0.0
"X[7,9]",0.0
"X[8,0]",0.0
"X[8,1]",0.0
"X[8,2]",0.0
"X[8,3]",0.0
"X[8,4]",0.0
"X[8,5]",0.0
"X[8,6]",0.0
"X[8,7]",0.0
"X[8,8]",0.0
"X[8,9]",0.0
"X[9,0]",0.0
"X[9,1]",0.0
"X[9,2]",0.0
"X[9,3]",0.0
"X[9,4]",0.0
"X[9,5]",0.0
"X[9,6]",0.0
"X[9,7]",0.0
"X[9,8]",0.0
"X[9,9]",0.0
"Go[0,0]",0.0
"Go[0,1]",0.0
"Go[0,2]",0.0
"Go[0,3]",0.0
"Go[0,4]",0.0
"Go[0,5]",0.0
"Go[0,6]",0.0
"Go[0,7]",0.0
"Go[0,8]",0.0
"Go[0,9]",0.0
"Go[1,0]",0.0
"Go[1,1]",0.0
"Go[1,2]",0.0
"Go[1,3]",0.0
"Go[1,4]",0.0
"Go[1,5]",0.0
"Go[1,6]",0.0
"Go[1,7]",0.0
"Go[1,8]",0.0
"Go[1,9]",0.0
"Go[2,0]",0.0
"Go[2,1]",0.0
"Go[2,2]",0.0
"Go[2,3]",0.0
"Go[2,4]",0.0
"Go[2,5]",0.0
"Go[2,6]",0.0
"Go[2,7]",0.0
"Go[2,8]",0.0
"Go[2,9]",0.0
"Go[3,0]",0.0
"Go[3,1]",0.0
"Go[3,2]",0.0
"Go[3,3]",0.0
"Go[3,4]",0.0
"Go[3,5]",0.0
"Go[3,6]",0.0
"Go[3,7]",0.0
"Go[3,8]",0.0
"Go[3,9]",0.0
"Go[4,0]",0.0
"Go[4,1]",0.0
"Go[4,2]",0.0
"Go[4,3]",0.0
"Go[4,4]",0.0
"Go[4,5]",0.0
"Go[4,6]",0.0
"Go[4,7]",0.0
"Go[4,8]",0.0
"Go[4,9]",0.0
"Go[5,0]",0.0
"Go[5,1]",0.0
"Go[5,2]",0.0
"Go[5,3]",0.0
"Go[5,4]",0.0
"Go[5,5]",0.0
"Go[5,6]",0.0
"Go[5,7]",0.0
"Go[5,8]",0.0
"Go[5,9]",0.0
"Go[6,0]",0.0
"Go[6,1]",0.0
"Go[6,2]",1251.8679333976092
"Go[6,3]",0.0
"Go[6,4]",0.0
"Go[6,5]",0.0
"Go[6,6]",0.0
"Go[6,7]",0.0
"Go[6,8]",0.0
"Go[6,9]",0.0
"Go[7,0]",0.0
"Go[7,1]",0.0
"Go[7,2]",2166.967147880022
"Go[7,3]",0.0
"Go[7,4]",0.0
"Go[7,5]",0.0
"Go[7,6]",8259.217639749466
"Go[7,7]",0.0
"Go[7,8]",0.0
"Go[7,9]",0.0
"Go[8,0]",0.0
"Go[8,1]",0.0
"Go[8,2]",0.0
"Go[8,3]",0.0
"Go[8,4]",0.0
"Go[8,5]",0.0
"Go[8,6]",0.0
"Go[8,7]",0.0
"Go[8,8]",0.0
"Go[8,9]",0.0
"Go[9,0]",0.0
"Go[9,1]",0.0
"Go[9,2]",0.0
"Go[9,3]",0.0
"Go[9,4]",0.0
"Go[9,5]",0.0
"Go[9,6]",0.0
"Go[9,7]",0.0
"Go[9,8]",0.0
"Go[9,9]",0.0
"Gr[0,0]",0.0
"Gr[0,1]",0.0
"Gr[0,2]",0.0
"Gr[0,3]",0.0
"Gr[0,4]",0.0
"Gr[0,5]",0.0
"Gr[0,6]",0.0
"Gr[0,7]",0.0
"Gr[0,8]",0.0
"Gr[0,9]",0.0
"Gr[1,0]",0.0
"Gr[1,1]",0.0
"Gr[1,2]",0.0
"Gr[1,3]",0.0
"Gr[1,4]",0.0
"Gr[1,5]",0.0
"Gr[1,6]",0.0
"Gr[1,7]",0.0
"Gr[1,8]",0.0
"Gr[1,9]",0.0
"Gr[2,0]",0.0
"Gr[2,1]",0.0
"Gr[2,2]",0.0
"Gr[2,3]",0.0
"Gr[2,4]",0.0
"Gr[2,5]",0.0
"Gr[2,6]",0.0
"Gr[2,7]",0.0
"Gr[2,8]",0.0
"Gr[2,9]",0.0
"Gr[3,0]",0.0
"Gr[3,1]",0.0
"Gr[3,2]",0.0
"Gr[3,3]",0.0
"Gr[3,4]",0.0
"Gr[3,5]",0.0
"Gr[3,6]",0.0
"Gr[3,7]",0.0
"Gr[3,8]",0.0
"Gr[3,9]",0.0
"Gr[4,0]",0.0
"Gr[4,1]",0.0
"Gr[4,2]",0.0
"Gr[4,3]",0.0
"Gr[4,4]",0.0
"Gr[4,5]",0.0
"Gr[4,6]",0.0
"Gr[4,7]",0.0
"Gr[4,8]",0.0
"Gr[4,9]",0.0
"Gr[5,0]",0.0
