Execution;FX;Evaluations
1;311195527.0223872;25018
2;300108326.18125314;25291
3;304183812.4502496;26148
4;306757450.2228153;25121
5;301014970.02935684;25197
6;302460184.3641095;25018
7;298073242.69846547;25169
8;312366609.7092484;25000
9;303547533.64698327;25260
10;300661090.75690967;25319
11;302822594.8455696;25003
12;308578302.38494265;25047
13;311523272.63122576;25935
14;295309321.4231718;25135
15;294098772.9763341;26162
16;315203213.6217689;25124
17;294938164.66697913;25232
18;305176050.14332956;25094
19;321296584.3314612;25049
20;296288832.0014284;25020
21;292890265.95755374;25098
22;295979646.60308367;25022
23;305793935.49513525;25089
24;299866987.2878968;25050
25;308721431.7248467;25009
26;296740162.80387896;25330
27;298951701.54138935;25564
28;305897525.26882887;25018
29;307773976.48377013;25080
30;284370043.3546516;25245
