Instance,Algorithm,Operator,Evaluations,Success,% Improvement
Problem_800,VNS_SwapETN,Swap,17,0,0.0
Problem_800,VNS_SwapETN,Swap,32,0,0.0
Problem_800,VNS_SwapETN,Swap,47,0,0.0
Problem_800,VNS_SwapETN,Swap,62,0,0.0
Problem_800,VNS_SwapETN,Swap,77,1,0.002600261581709022
Problem_800,VNS_SwapETN,Swap,92,1,0.16747457160559842
Problem_800,VNS_SwapETN,Swap,107,0,0.0
Problem_800,VNS_SwapETN,Swap,122,1,0.2009048215642145
Problem_800,VNS_SwapETN,Swap,137,1,0.20098178072575124
Problem_800,VNS_SwapETN,Swap,152,1,0.20134410537480074
Problem_800,VNS_SwapETN,Swap,167,0,0.0
Problem_800,VNS_SwapETN,Swap,182,1,0.39653296075699074
Problem_800,VNS_SwapETN,Swap,197,0,0.0
Problem_800,VNS_SwapETN,Swap,212,1,0.397983078671709
Problem_800,VNS_SwapETN,Swap,227,0,0.0
Problem_800,VNS_SwapETN,Swap,242,0,0.0
Problem_800,VNS_SwapETN,Swap,257,0,0.0
Problem_800,VNS_SwapETN,Swap,272,0,0.0
Problem_800,VNS_SwapETN,Swap,303,0,0.0
Problem_800,VNS_SwapETN,Swap,318,0,0.0
Problem_800,VNS_SwapETN,Swap,333,0,0.0
Problem_800,VNS_SwapETN,Swap,348,0,0.0
Problem_800,VNS_SwapETN,Reversion,379,1,2.6410712744880342
Problem_800,VNS_SwapETN,Reversion,394,1,2.863332308489929
Problem_800,VNS_SwapETN,Reversion,409,1,4.227300516463922
Problem_800,VNS_SwapETN,Reversion,424,1,4.32325003761182
Problem_800,VNS_SwapETN,Reversion,439,1,4.625609633482975
Problem_800,VNS_SwapETN,Reversion,454,1,4.980066888940213
Problem_800,VNS_SwapETN,Reversion,469,1,5.161857154266276
Problem_800,VNS_SwapETN,Reversion,484,1,5.328458318568489
Problem_800,VNS_SwapETN,Reversion,499,1,5.727890793256358
Problem_800,VNS_SwapETN,Reversion,514,0,0.0
Problem_800,VNS_SwapETN,Reversion,529,1,5.788025665621605
Problem_800,VNS_SwapETN,Reversion,544,0,0.0
Problem_800,VNS_SwapETN,Reversion,559,1,5.792205316672795
Problem_800,VNS_SwapETN,Reversion,574,1,5.8027030946619425
Problem_800,VNS_SwapETN,Reversion,589,1,5.889540763088542
Problem_800,VNS_SwapETN,Reversion,604,1,5.911920090151914
Problem_800,VNS_SwapETN,Reversion,619,1,5.934225649190406
Problem_800,VNS_SwapETN,Reversion,634,1,5.935931016758886
Problem_800,VNS_SwapETN,Reversion,649,1,6.356592659235365
Problem_800,VNS_SwapETN,Reversion,664,1,6.361206010094141
Problem_800,VNS_SwapETN,Reversion,679,0,0.0
Problem_800,VNS_SwapETN,Reversion,694,1,6.362773545794577
Problem_800,VNS_SwapETN,Reversion,709,0,0.0
Problem_800,VNS_SwapETN,Reversion,724,1,6.362922446466149
Problem_800,VNS_SwapETN,Reversion,739,0,0.0
Problem_800,VNS_SwapETN,Reversion,754,1,6.364116108775855
Problem_800,VNS_SwapETN,Reversion,769,1,6.364515859571698
Problem_800,VNS_SwapETN,Reversion,784,1,6.421897230698242
Problem_800,VNS_SwapETN,Reversion,799,1,6.597380757282761
Problem_800,VNS_SwapETN,Reversion,814,0,0.0
Problem_800,VNS_SwapETN,Reversion,829,1,6.607840209284409
Problem_800,VNS_SwapETN,Reversion,844,1,6.612092067415952
Problem_800,VNS_SwapETN,Reversion,859,1,6.645803195065962
Problem_800,VNS_SwapETN,Reversion,874,0,0.0
Problem_800,VNS_SwapETN,Reversion,889,1,6.647760000222662
Problem_800,VNS_SwapETN,Reversion,904,0,0.0
Problem_800,VNS_SwapETN,Reversion,919,1,6.886092625222514
Problem_800,VNS_SwapETN,Reversion,934,0,0.0
Problem_800,VNS_SwapETN,Reversion,949,1,6.89142472117124
Problem_800,VNS_SwapETN,Reversion,964,0,0.0
Problem_800,VNS_SwapETN,Reversion,979,0,0.0
Problem_800,VNS_SwapETN,Reversion,994,1,7.297696981879575
Problem_800,VNS_SwapETN,Reversion,1009,1,7.310978032520654
Problem_800,VNS_SwapETN,Reversion,1024,0,0.0
Problem_800,VNS_SwapETN,Reversion,1039,1,9.559588484840772
Problem_800,VNS_SwapETN,Reversion,1054,1,9.55961740230467
Problem_800,VNS_SwapETN,Reversion,1069,0,0.0
Problem_800,VNS_SwapETN,Reversion,1084,1,9.560259790873028
Problem_800,VNS_SwapETN,Reversion,1099,1,9.630872812479446
Problem_800,VNS_SwapETN,Reversion,1114,0,0.0
Problem_800,VNS_SwapETN,Reversion,1129,0,0.0
Problem_800,VNS_SwapETN,Reversion,1144,0,0.0
Problem_800,VNS_SwapETN,Reversion,1159,1,9.633470042815137
Problem_800,VNS_SwapETN,Reversion,1174,1,9.633761511180344
Problem_800,VNS_SwapETN,Reversion,1189,1,9.635611843507172
Problem_800,VNS_SwapETN,Reversion,1204,0,0.0
Problem_800,VNS_SwapETN,Reversion,1219,1,9.671795319617928
Problem_800,VNS_SwapETN,Reversion,1234,0,0.0
Problem_800,VNS_SwapETN,Reversion,1249,0,0.0
Problem_800,VNS_SwapETN,Reversion,1264,0,0.0
Problem_800,VNS_SwapETN,Reversion,1279,1,9.67215297010675
Problem_800,VNS_SwapETN,Reversion,1294,1,9.682894249060455
Problem_800,VNS_SwapETN,Reversion,1309,1,9.683636071192305
Problem_800,VNS_SwapETN,Reversion,1324,1,9.68899247180782
Problem_800,VNS_SwapETN,Reversion,1339,0,0.0
Problem_800,VNS_SwapETN,Reversion,1354,0,0.0
Problem_800,VNS_SwapETN,Reversion,1369,1,9.702406265992833
Problem_800,VNS_SwapETN,Reversion,1384,0,0.0
Problem_800,VNS_SwapETN,Reversion,1399,1,9.702861329979736
