Instance,Algorithm,Operator,Evaluations,Success,% Improvement
Problem_200,VNS_SwapETN,Swap,17,0,0.0
Problem_200,VNS_SwapETN,Swap,32,1,0.8966802464542878
Problem_200,VNS_SwapETN,Swap,47,1,1.4467933866795903
Problem_200,VNS_SwapETN,Swap,62,0,0.0
Problem_200,VNS_SwapETN,Swap,77,0,0.0
Problem_200,VNS_SwapETN,Swap,92,1,1.802158579980917
Problem_200,VNS_SwapETN,Swap,107,1,2.161691974605344
Problem_200,VNS_SwapETN,Swap,122,0,0.0
Problem_200,VNS_SwapETN,Swap,137,1,2.1633443270396806
Problem_200,VNS_SwapETN,Swap,152,0,0.0
Problem_200,VNS_SwapETN,Swap,167,0,0.0
Problem_200,VNS_SwapETN,Swap,182,0,0.0
Problem_200,VNS_SwapETN,Swap,197,0,0.0
Problem_200,VNS_SwapETN,Swap,228,1,0.2835027229184983
Problem_200,VNS_SwapETN,Swap,243,0,0.0
Problem_200,VNS_SwapETN,Swap,258,0,0.0
Problem_200,VNS_SwapETN,Swap,273,1,1.6789293648794927
Problem_200,VNS_SwapETN,Swap,288,1,1.7400748211003747
Problem_200,VNS_SwapETN,Swap,303,0,0.0
Problem_200,VNS_SwapETN,Swap,318,0,0.0
Problem_200,VNS_SwapETN,Swap,333,1,2.1970458169948235
Problem_200,VNS_SwapETN,Swap,348,0,0.0
Problem_200,VNS_SwapETN,Swap,363,0,0.0
Problem_200,VNS_SwapETN,Swap,378,0,0.0
Problem_200,VNS_SwapETN,Swap,393,0,0.0
Problem_200,VNS_SwapETN,Swap,424,0,0.0
Problem_200,VNS_SwapETN,Swap,439,0,0.0
Problem_200,VNS_SwapETN,Swap,454,0,0.0
Problem_200,VNS_SwapETN,Swap,469,0,0.0
Problem_200,VNS_SwapETN,Reversion,500,1,2.1833958559550757
Problem_200,VNS_SwapETN,Reversion,515,1,2.8840425172784467
Problem_200,VNS_SwapETN,Reversion,530,1,3.310653303270335
Problem_200,VNS_SwapETN,Reversion,545,1,8.99595688389016
Problem_200,VNS_SwapETN,Reversion,560,1,9.594307348317574
Problem_200,VNS_SwapETN,Reversion,575,1,9.596410239222596
Problem_200,VNS_SwapETN,Reversion,590,1,11.345081651382992
Problem_200,VNS_SwapETN,Reversion,605,1,11.488903618956158
Problem_200,VNS_SwapETN,Reversion,620,1,11.489599842233892
Problem_200,VNS_SwapETN,Reversion,635,1,11.527529582967807
Problem_200,VNS_SwapETN,Reversion,650,1,11.777297044389288
Problem_200,VNS_SwapETN,Reversion,665,1,12.54326952911188
Problem_200,VNS_SwapETN,Reversion,680,1,12.630650732619614
Problem_200,VNS_SwapETN,Reversion,695,1,13.138045203253684
Problem_200,VNS_SwapETN,Reversion,710,1,13.13835731416167
Problem_200,VNS_SwapETN,Reversion,725,1,13.508225118901333
Problem_200,VNS_SwapETN,Reversion,740,0,0.0
Problem_200,VNS_SwapETN,Reversion,755,1,14.331606488857174
Problem_200,VNS_SwapETN,Reversion,770,1,14.331728736221105
Problem_200,VNS_SwapETN,Reversion,785,0,0.0
Problem_200,VNS_SwapETN,Reversion,800,1,14.334454379332065
